time,timestamp,Latitude,Longitude,ax,ay,az,v,s,Vh
2/21/2024 17:51:00.56,1708512660.56,10.87442398,106.8014526,0.33,0.11,10.9,0.0,0.0,0.06976028274564784
2/21/2024 17:51:00.64,1708512660.64,10.87442398,106.8014526,-0.58,-0.02,9.66,0.0,0.0,0.06182388208013435
2/21/2024 17:51:00.72,1708512660.72,10.87442398,106.8014526,-1.04,-0.48,11.26,0.0,0.0,0.09120582603844354
2/21/2024 17:51:00.81,1708512660.81,10.87442398,106.8014526,-1.32,-0.65,8.46,25.837657251729066,7.10535581267191,1.4923445421753423
2/21/2024 17:51:01.23,1708512661.23,10.87448788,106.8014526,-0.54,0.3,10.29,0.0,0.0,0.08334884102447461
2/21/2024 17:51:01.32,1708512661.32,10.87448788,106.8014526,0.04,0.2,9.68,0.0,0.0,0.5575680443115243
2/21/2024 17:51:01.56,1708512661.56,10.87448788,106.8014526,-0.19,-0.1,10.09,0.0,0.0,0.08172927713036188
2/21/2024 17:51:01.65,1708512661.65,10.87448788,106.8014526,-0.73,0.58,8.39,0.0,0.0,0.05369589758305665
2/21/2024 17:51:01.73,1708512661.73,10.87448788,106.8014526,-0.89,-0.11,10.44,0.0,0.0,0.051155902427719856
2/21/2024 17:51:01.80,1708512661.8,10.87448788,106.8014526,-0.45,0.27,10.23,27.002901437842475,7.5758139429725455,1.9805285151214935
2/21/2024 17:51:02.24,1708512662.24,10.87455559,106.8014603,-0.91,0.97,11.07,0.0,0.0,0.0708478648682285
2/21/2024 17:51:02.32,1708512662.32,10.87455559,106.8014603,0.4,0.15,7.72,0.0,0.0,0.48250000000000004
2/21/2024 17:51:02.57,1708512662.57,10.87455559,106.8014603,-1.23,0.57,10.72,0.0,0.0,0.052528257629710425
2/21/2024 17:51:02.64,1708512662.64,10.87455559,106.8014603,-0.56,-0.48,8.84,0.0,0.0,0.0565758920898952
2/21/2024 17:51:02.72,1708512662.72,10.87455559,106.8014603,-0.57,0.6,9.31,0.0,0.0,0.07541085616500084
2/21/2024 17:51:02.81,1708512662.81,10.87455559,106.8014603,-0.9,-0.68,11.02,29.075805612538257,7.9958466204726015,1.9439287062378572
2/21/2024 17:51:03.23,1708512663.23,10.87462711,106.8014679,0.13,-0.09,9.56,0.0,0.0,0.0611838833008369
2/21/2024 17:51:03.31,1708512663.31,10.87462711,106.8014679,3.92,-1.18,25.69,0.0,0.0,1.6056249999999999
