timestamp,Latitude,Longitude,ax,ay,az
1708513095.56,10.87643909,106.8010864,-0.58,-0.72,9.18
1708513095.64,10.87643909,106.8010864,-0.48,-0.45,11.34
1708513095.73,10.87643909,106.8010864,-0.64,-0.12,4.77
1708513095.81,10.87643909,106.8010864,-1.86,0.38,11.37
1708513095.89,10.87644672,106.8010483,-1.75,-0.27,10.77
1708513096.3,10.87644672,106.8010483,-0.35,-0.18,8.76
1708513096.39,10.87644672,106.8010483,-1.92,-0.15,9.98
1708513096.54,10.87644672,106.8010483,-2.23,-0.41,9.1
1708513096.64,10.87644672,106.8010483,-2.01,-0.25,10.47
1708513096.71,10.87644672,106.8010483,-2.67,-0.67,11.35
1708513096.8,10.87644672,106.8010483,-2.09,-0.14,10.48
1708513096.89,10.87643337,106.8010025,-2.34,0.16,10.56
1708513097.3,10.87643337,106.8010025,-2.23,0.06,10.39
1708513097.39,10.87643337,106.8010025,-1.51,-0.38,9.93
1708513097.54,10.87643337,106.8010025,-0.32,-0.17,10.4
1708513097.64,10.87643337,106.8010025,-1.15,-0.45,9.82
1708513097.72,10.87643337,106.8010025,-0.56,-0.14,9.39
1708513097.8,10.87643337,106.8010025,-2.07,-0.7,9.07
1708513097.88,10.8764286,106.8009644,-1.19,0.04,8.82
1708513098.3,10.8764286,106.8009644,-1.01,-0.39,9.21
1708513098.47,10.8764286,106.8009644,-1.23,-0.48,9.65
1708513098.62,10.8764286,106.8009644,-0.89,0.26,10.08
1708513098.71,10.8764286,106.8009644,-2.33,-0.62,9.79
1708513098.79,10.8764286,106.8009644,-1.57,0.2,10.74
1708513098.88,10.87640858,106.8009415,-2.02,0.2,11.03
1708513099.29,10.87640858,106.8009415,-2.46,0.02,10.55
1708513099.48,10.87640858,106.8009415,-1.2,-0.46,9.96
1708513099.62,10.87640858,106.8009415,-0.35,-0.09,11.16
1708513099.71,10.87640858,106.8009415,-1.18,-0.17,11.0
1708513099.79,10.87640858,106.8009415,-0.84,-0.6,9.45
1708513099.88,10.8763895,106.8009338,-2.28,-0.47,9.81
1708513100.3,10.8763895,106.8009338,-2.88,-0.82,10.46
1708513100.38,10.8763895,106.8009338,-0.48,0.33,7.05
1708513100.55,10.8763895,106.8009338,-1.45,-0.72,9.55
1708513100.62,10.8763895,106.8009338,0.51,-0.35,10.07
1708513100.72,10.8763895,106.8009338,-2.29,-0.1,9.56
1708513100.79,10.8763895,106.8009338,0.78,-0.88,11.18
1708513100.88,10.87636566,106.8009415,-1.39,0.17,11.19
1708513101.29,10.87636566,106.8009415,-1.49,-0.92,12.75
1708513101.38,10.87636566,106.8009415,0.57,-0.59,9.88
1708513101.54,10.87636566,106.8009415,0.64,0.16,9.78
1708513101.62,10.87636566,106.8009415,0.19,-0.84,9.74
1708513101.69,10.87636566,106.8009415,0.24,0.53,9.3
1708513101.78,10.87636566,106.8009415,-0.22,-0.67,10.33
1708513101.88,10.87635899,106.8009567,-0.01,-0.33,9.77
1708513102.29,10.87635899,106.8009567,-1.66,-0.29,12.03
1708513102.48,10.87635899,106.8009567,0.11,-0.82,9.69
1708513102.61,10.87635899,106.8009567,0.17,-0.63,10.38
1708513102.69,10.87635899,106.8009567,0.02,-0.38,4.79
1708513102.79,10.87635899,106.8009567,-1.62,0.38,11.16
1708513102.87,10.87635231,106.8009567,-0.52,-0.37,10.01
1708513103.29,10.87635231,106.8009567,-0.6,0.69,10.29
1708513103.47,10.87635231,106.8009567,-1.9,-0.09,11.0
1708513103.61,10.87635231,106.8009567,-0.13,-0.01,10.31
1708513103.69,10.87635231,106.8009567,0.73,0.0,11.38
1708513103.77,10.87635231,106.8009567,0.19,-0.7,10.28
1708513103.87,10.8763628,106.800972,0.24,-0.63,8.68
1708513104.29,10.8763628,106.800972,-1.15,0.4,11.69
1708513104.47,10.8763628,106.800972,-0.06,-0.32,9.77
1708513104.62,10.8763628,106.800972,0.35,-0.06,10.13
1708513104.7,10.8763628,106.800972,0.26,0.07,10.47
1708513104.79,10.8763628,106.800972,1.07,-0.09,10.25
1708513104.86,10.87635803,106.8010101,0.89,-1.33,8.55
1708513105.29,10.87635803,106.8010101,-0.31,0.13,10.42
1708513105.47,10.87635803,106.8010101,-0.42,-1.91,9.6
1708513105.61,10.87635803,106.8010101,-0.46,0.57,10.55
1708513105.69,10.87635803,106.8010101,0.1,-0.22,9.88
1708513105.77,10.87635803,106.8010101,0.14,-0.3,9.83
1708513105.87,10.87637424,106.8010559,1.09,0.88,9.05
1708513106.29,10.87637424,106.8010559,-0.33,-0.91,10.55
1708513106.46,10.87637424,106.8010559,-0.01,-0.16,9.85
1708513106.61,10.87637424,106.8010559,-1.04,-0.63,10.02
1708513106.69,10.87637424,106.8010559,-0.93,0.46,8.57
1708513106.77,10.87637424,106.8010559,-0.88,0.11,10.46
1708513106.86,10.87637901,106.8011017,-0.13,-0.05,8.95
1708513107.29,10.87637901,106.8011017,-1.69,0.01,10.8
1708513107.46,10.87637901,106.8011017,-1.88,0.07,10.89
1708513107.61,10.87637901,106.8011017,-1.76,-0.36,8.25
1708513107.69,10.87637901,106.8011017,-1.24,0.35,12.72
1708513107.78,10.87637901,106.8011017,-2.51,-0.74,8.63
1708513107.85,10.87639904,106.8011703,-2.21,-0.22,10.41
1708513108.29,10.87639904,106.8011703,-1.97,0.13,9.99
1708513108.45,10.87639904,106.8011703,-1.39,-0.09,8.74
1708513108.62,10.87639904,106.8011703,-0.44,-0.24,9.28
1708513108.7,10.87639904,106.8011703,-0.71,0.37,9.96
1708513108.79,10.87639904,106.8011703,-1.78,-0.33,12.54
1708513108.87,10.87642384,106.8012161,-1.36,0.4,9.93
1708513109.29,10.87642384,106.8012161,-1.74,0.15,9.97
1708513109.46,10.87642384,106.8012161,-1.92,-0.95,9.63
1708513109.63,10.87642384,106.8012161,0.06,0.91,12.22
1708513109.71,10.87642384,106.8012161,0.04,-0.55,13.81
1708513109.79,10.87642384,106.8012161,-0.43,0.61,11.42
1708513109.87,10.87643814,106.8012848,-1.57,0.19,11.02
