Start,Stop,Lat,Lon,avg_ax,avg_ay,avg_az,av,s,v(m/s),IRI
1708512081.29,1708512081.86,10.87443447,106.8013992,-1.08,-0.02,9.75,9.812596920965078,4.983756612371576,4.934412534088912,0.0021347176912937253
1708512082.3,1708512082.88,10.87438965,106.8013992,-0.61,-0.18,9.77,9.795595807413768,5.090503741566082,5.090503741566082,0.00220644937225795
1708512083.3,1708512083.87,10.87434387,106.8013992,-1.44,-0.02,10.57,10.663907585871138,5.261996266048255,5.209897342310602,0.002319919218656908
1708512084.31,1708512084.88,10.87429714,106.8013916,-1.17,-0.13,10.28,10.346870836688312,5.08939179253573,5.140799740918428,0.0022509501694692267
1708512085.3,1708512085.88,10.87425137,106.8013916,-0.52,0.06,10.41,10.419565196729126,5.261996306467807,5.261996306467807,0.002346997930449893
1708512086.3,1708512086.88,10.87420464,106.801384,-0.74,-0.18,10.15,10.181793800701328,4.984868561401928,4.984868561401928,0.0022934401318411173
1708512087.3,1708512087.88,10.87415981,106.801384,-1.06,0.16,9.67,9.732580022218615,4.983756612194745,5.0340975395816665,0.002192255121860138
1708512088.29,1708512088.87,10.87411499,106.801384,-0.83,-0.15,10.32,10.356472747889493,5.054188378600422,5.004146956756125,0.0023327844937735044
1708512089.3,1708512089.83,10.87407017,106.8013763,-1.01,-0.22,9.68,9.736767801597315,4.772486251512776,4.725233957006058,0.00183135857308629
1708512090.31,1708512090.82,10.87402725,106.8013763,-0.90,0.04,10.45,10.49222476672872,4.426220717068425,4.426220717068425,0.0018273208171223046
1708512091.31,1708512091.83,10.87398815,106.8013687,-0.94,-0.10,10.54,10.580171968776732,4.162563205027447,4.20460925750421,0.0019156063253201413
1708512092.3,1708512092.81,10.87395382,106.8013535,-0.34,-0.29,11.57,11.580474587281243,4.400424506178668,4.444873195746519,0.002016849882266916
1708512093.29,1708512093.82,10.87392807,106.8013229,-0.54,-0.27,10.66,10.67529273603305,3.8389683180916707,3.800958766673701,0.0020078828283378296
1708512094.3,1708512094.82,10.8739109,106.8012924,-0.68,0.22,10.35,10.3777193223431,5.019197757739256,5.019197757739256,0.0018789510071239375
1708512095.3,1708512095.81,10.87390709,106.8012466,-0.62,-0.10,9.93,9.951744821889273,4.1725953100946125,4.1725953100946125,0.001733191089976728
1708512096.3,1708512096.81,10.87390995,106.8012085,-1.17,0.12,10.11,10.174469273627986,4.33139332605541,4.375144731647251,0.0017719806733294294
1708512097.29,1708512097.8,10.87392044,106.8011703,-0.75,-0.11,11.52,11.546776606482,4.320877758369661,4.320877758369661,0.002010981058144438
1708512098.29,1708512098.81,10.87393093,106.8011322,-0.63,0.10,9.93,9.94889315451724,4.268445796213595,4.268445796213595,0.0018013093466694343
1708512099.29,1708512099.8,10.87393951,106.8010941,-0.38,0.09,10.36,10.365905920639813,3.5392081334455625,3.5392081334455625,0.0018053211876647762
1708512100.29,1708512100.9,10.87395,106.8010635,-0.79,-0.11,9.62,9.648405282210938,3.528900117516986,3.493960545384149,0.0024039325510467335
1708512101.3,1708512101.9,10.87396049,106.801033,-1.13,-0.18,9.55,9.613688158037995,3.4648094193269694,3.4648094193269694,0.0023173926159823807
1708512102.3,1708512102.9,10.87396908,106.8010025,-1.45,-0.24,9.81,9.92403771102246,2.8055971482716497,2.8055971482716497,0.002392202798155631
1708512103.3,1708512103.9,10.87398052,106.8009796,-0.37,0.08,10.37,10.372726502807295,2.5802622963035744,2.606325526714866,0.0025003598421395115
1708512104.29,1708512104.89,10.87398624,106.8009567,-1.48,-0.14,10.14,10.2488079944022,2.509645215352913,2.4847972663859275,0.002470489117019162
1708512105.3,1708512105.89,10.87398815,106.8009338,-1.16,-0.15,9.93,9.998880957795391,2.556274019262574,2.556274019262574,0.0023305720088691575
1708512106.3,1708512106.88,10.87398338,106.8009109,-0.52,-0.30,10.21,10.231829090177973,2.2985570429564337,2.2985570429564337,0.0023047105369524566
1708512107.3,1708512107.87,10.87396908,106.8008957,-0.09,-0.40,9.39,9.402168189660653,2.4760910858339322,2.4760910858339322,0.0020454294548780563
1708512108.3,1708512108.87,10.8739481,106.8008881,0.19,-0.25,10.15,10.156501202021623,2.9811169411954452,3.0112292045233593,0.0022095336201244033
1708512109.29,1708512109.88,10.87392235,106.8008957,0.11,0.12,10.79,10.787915693033572,3.9639436627642475,3.9246967328644278,0.00251448281606183
1708512110.3,1708512110.88,10.87389469,106.8009186,-0.49,0.01,10.21,10.216683931469914,4.323307319820455,4.323307319820455,0.002301299103224367
